sentence,word_list,label
a7mer w abyedh wbel3ardh,"['a7mer', 'w', 'abyedh', 'wbel3ardh']",1
b3d l etoil fma 7ad y m3alem bara thebt,"['b3d', 'l', 'etoil', 'fma', '7ad', 'y', 'm3alem', 'bara', 'thebt']",1
alf mabrouk rabi yes3edkom,"['alf', 'mabrouk', 'rabi', 'yes3edkom']",1
hasyasa hathi ana mafhamet menha walo,"['hasyasa', 'hathi', 'ana', 'mafhamet', 'menha', 'walo']",0
inchallah 3idkom mabrouk rabi yfadhelhoulek,"['inchallah', '3idkom', 'mabrouk', 'rabi', 'yfadhelhoulek']",1
hadiyou a3sabkom w djabou line ca vive,"['hadiyou', 'a3sabkom', 'w', 'djabou', 'line', 'ca', 'vive']",0
ezidin daher ma ikhafech rabi,"['ezidin', 'daher', 'ma', 'ikhafech', 'rabi']",0
enti fare5 chkoun,"['enti', 'fare5', 'chkoun']",0
ijikom nhar yawled el hajela,"['ijikom', 'nhar', 'yawled', 'el', 'hajela']",0
rabi em3aha inchallah,"['rabi', 'em3aha', 'inchallah']",1
